,title,artists,album,duration_ms,release_date,artist_genres,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,uri,genre
0,"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",Lang Lang,Piano Book (Deluxe Edition),139307,2019-03-29,"classical performance, chinese classical piano, chinese classical performance, classical piano",False,64,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,4,spotify:track:4SFBV7SRNG2e2kyL1F6kjU,Classical
1,The Lark Ascending,"Ralph Vaughan Williams, Tasmin Little, BBC Philharmonic, Andrew Davis",The Lark Ascending,935360,2013-01-01,"violin, early modern classical, post-romantic era, classical, classic soundtrack, orchestra, choral, orchestral performance, radio symphony, british orchestra, classical performance",False,63,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,4,spotify:track:2kAgCRZPG3YQR2VMqRvLmb,Classical
2,"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande","George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields",Handel Sarabande,207267,2002-01-01,"early music, classical, german baroque, chamber orchestra, baroque, british orchestra, english baroque, classical performance",False,65,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,3,spotify:track:1upQiytDIEZfl9ItruoXuC,Classical
3,"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59","Ludwig van Beethoven, Lang Lang","Beethoven: Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",203656,2019-01-18,"early romantic era, classical performance, chinese classical piano, classical, classical era, german romanticism, chinese classical performance, classical piano",False,62,0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,5,spotify:track:0H2VhGUC3P3hvwz8rdGIpC,Classical
4,"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile","Sergei Rachmaninoff, Daniil Trifonov, Philadelphia Orchestra, Yannick Nézet-Séguin",Rachmaninov Variations,174653,2015-08-28,"russian romanticism, post-romantic era, american orchestra, classical, russian classical piano, orchestra, orchestral performance, ukrainian classical, classical performance, classical piano",False,60,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,4,spotify:track:419qlOGNXoyICx4jO0hqaj,Classical
5,"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato","Edward Elgar, Jacqueline du Pré, London Symphony Orchestra, Sir John Barbirolli",Impressions,478573,1988-08-08,"late romantic era, british modern classical, historic orchestral performance, classical, victorian britain, orchestra, orchestral performance, classical cello, british orchestra, classical performance",False,58,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,4,spotify:track:5pjDwtMPly0cNMbuGXhUOI,Classical
6,Rhapsody In Blue,"George Gershwin, Benjamin Grosvenor, Royal Liverpool Philharmonic Orchestra, James Judd","Rhapsody In Blue: Saint-Säens, Ravel, Gershwin",890000,2012-01-01,"early modern classical, classical, orchestra, american modern classical, orchestral performance, british classical piano, british orchestra, tin pan alley, classical performance, classical piano",False,55,0.309,0.258,9,-15.327,1,0.0459,0.976,0.69,0.0924,0.115,74.568,4,spotify:track:0yzhOPf0iw2qWwcXRRta5L,Classical
7,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach, Yo-Yo Ma","Bach: Cello Suites Nos. 1, 5 & 6",152280,1983-01-01,"early music, classical, german baroque, baroque, classical cello, classical performance",False,68,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,4,spotify:track:17i5jLpzndlQhbS4SrTd0B,Classical
8,Meditation: Méditation from Thaïs,"Jules Massenet, Nicola Benedetti, London Symphony Orchestra, Daniel Harding",Szymanowski: Violin Concerto No.1,337253,2005-01-01,"violin, post-romantic era, french opera, classical, orchestra, orchestral performance, british orchestra, french romanticism, classical performance",False,0,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,1,spotify:track:6Uk28Hs2MulezLxMrd1rBD,Classical
9,Gnossienne No. 1,"Erik Satie, Alena Cherny",Gnossienne No. 1,296480,2013-01-01,"early modern classical, post-romantic era, early avant garde, classical, impressionism, ukrainian classical piano",False,64,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,4,spotify:track:5fdp9rXfEixCGLM1Og4EN1,Classical
10,"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato","Edvard Grieg, Javier Perianes, BBC Symphony Orchestra, Sakari Oramo",Grieg: Piano Concerto & Lyric Pieces,820853,2015-05-18,"late romantic era, classical performance, classical, orchestra, theme, orchestral performance, british orchestra, spanish classical piano, norwegian classical, classical piano",False,56,0.303,0.119,9,-18.055,0,0.0386,0.975,0.88,0.112,0.038,94.868,4,spotify:track:2Z4aQJh0kesRMookvtfR4y,Classical
11,"Suite bergamasque, L. 75: 3. Clair de lune","Claude Debussy, Alice Sara Ott","Debussy: Suite bergamasque, L. 75, 3. Clair de lune",294960,2018-07-27,"post-romantic era, german classical piano, classical, impressionism, classical performance, classical piano",False,61,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,3,spotify:track:1cmigB9I6IRpFqjIbzvSQB,Classical
