,title,artists,album,duration_ms,release_date,artist_genres,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,uri,genre
0,Five Stars,88GLAM,Heaven Can Wait,201780,2021-05-28,"canadian trap, melodic rap, rap, vapor trap, underground hip hop, canadian hip hop, toronto rap, trap soul, trap",True,54,0.656,0.864,0,-3.14,1,0.0419,0.0118,0.00052,0.128,0.0395,162.048,4,spotify:track:2SNf0cSVFOEBhM4x8MvtB6,Hip-Hop-Rap
1,Killer (feat. Jack Harlow & Cordae) - Remix,"Eminem, Jack Harlow, Cordae",Killer (feat. Jack Harlow & Cordae) [Remix],236666,2021-05-28,"rap, hip hop, dmv rap, underground hip hop, vapor trap, detroit hip hop, kentucky hip hop, deep underground hip hop, pop rap, trap",True,75,0.924,0.73,11,-6.125,0,0.274,0.0525,0.0,0.113,0.848,99.01,4,spotify:track:7zl7kehxesNEo2pYkKXTSe,Hip-Hop-Rap
2,734,Juice WRLD,Goodbye & Good Riddance (Anniversary Edition),196147,2021-05-28,"melodic rap, chicago rap",True,76,0.663,0.545,2,-3.93,0,0.036,0.123,0.0,0.106,0.344,78.452,4,spotify:track:6vB8bdQCCTDDIH8fhRfuXA,Hip-Hop-Rap
3,a m a r i,J. Cole,The Off-Season,148421,2021-05-14,"north carolina hip hop, conscious hip hop, rap",True,87,0.725,0.713,4,-6.173,0,0.187,0.127,0.0,0.617,0.207,65.988,4,spotify:track:2cnKST6T9qUo2i907lm8zX,Hip-Hop-Rap
4,Run My Shit,Mindflip,Run My Shit,173221,2021-01-22,,True,62,0.854,0.481,0,-5.815,1,0.26,0.195,0.0,0.0918,0.685,92.029,4,spotify:track:7zVVkNOKWMd46nwMUgHPmL,Hip-Hop-Rap
5,Spiral,21 Savage,Spiral: From The Book of Saw Soundtrack,173173,2021-05-13,"atl hip hop, trap, rap",False,53,0.814,0.684,2,-4.351,1,0.0839,0.00228,0.021,0.493,0.12,88.513,4,spotify:track:6Ek6TSIHMFTiAJ2JsQXhJ9,Hip-Hop-Rap
6,SHOOT MY SHOT,"IDK, Offset",SHOOT MY SHOT,174585,2021-04-16,"southern hip hop, pop rap, rap, hip hop, underground hip hop, vapor trap, atl hip hop, dmv rap, trap",True,72,0.76,0.52,4,-7.639,0,0.0417,0.00394,0.0,0.179,0.668,91.984,4,spotify:track:5q9Et9kJTWvRg80uQLBW4s,Hip-Hop-Rap
7,Seeing Green (with Drake & Lil Wayne),"Nicki Minaj, Drake, Lil Wayne",Beam Me Up Scotty,339506,2021-05-14,"new orleans rap, canadian pop, rap, hip hop, post-teen pop, dance pop, pop, canadian hip hop, hip pop, toronto rap, queens hip hop, pop rap, trap",True,81,0.573,0.867,5,-2.876,0,0.168,0.0853,0.0,0.38,0.231,74.861,4,spotify:track:1TZv3bujNaYz646eezRE91,Hip-Hop-Rap
8,Solid (feat. Drake),"Young Stoner Life, Young Thug, Gunna, Drake",Slime Language 2,215693,2021-04-16,"atl trap, gangster rap, melodic rap, canadian pop, rap, hip hop, canadian hip hop, toronto rap, atl hip hop, pop rap, trap",True,86,0.887,0.485,11,-9.358,0,0.2,0.0392,0.0,0.141,0.328,125.987,4,spotify:track:6rTInqW3YECMkQsBEHw4sd,Hip-Hop-Rap
9,Straightenin,Migos,Straightenin,255532,2021-05-14,"southern hip hop, rap, hip hop, atl hip hop, pop rap, trap",True,82,0.847,0.629,9,-5.81,1,0.102,0.0318,0.0,0.152,0.109,135.976,4,spotify:track:3X2r2CnHOJeV5YekPTgBnK,Hip-Hop-Rap
10,p r i d e . i s . t h e . d e v i l (with Lil Baby),"J. Cole, Lil Baby",The Off-Season,218210,2021-05-14,"atl trap, north carolina hip hop, rap, conscious hip hop, atl hip hop, trap",True,88,0.861,0.656,4,-7.867,0,0.425,0.104,0.0,0.0986,0.331,88.967,4,spotify:track:5W8jRrZ6tWrTrqnKRtIQBf,Hip-Hop-Rap
11,SMALL TALK,Russ,SMALL TALK,121148,2021-05-07,"rap, pop rap, hawaiian hip hop",True,71,0.794,0.649,1,-4.294,1,0.348,0.0584,0.0,0.314,0.611,144.343,4,spotify:track:4RQvgOmRgrrfrkCqAvy9TE,Hip-Hop-Rap
12,GANG GANG (with Lil Wayne),"Polo G, Lil Wayne",GANG GANG (with Lil Wayne),178776,2021-05-21,"new orleans rap, rap, hip hop, chicago rap, pop rap, trap",True,82,0.752,0.563,3,-8.066,0,0.209,0.146,0.0,0.103,0.551,145.05,4,spotify:track:4VW44pawoOHPUjlN7DX5vk,Hip-Hop-Rap
13,Clockwork,88GLAM,Heaven Can Wait,140829,2021-05-28,"canadian trap, melodic rap, rap, vapor trap, underground hip hop, canadian hip hop, toronto rap, trap soul, trap",True,54,0.689,0.507,0,-8.96,0,0.0305,0.0264,0.0,0.177,0.501,149.991,4,spotify:track:4Wui2hY0RhnHnP1qK4Ul95,Hip-Hop-Rap
14,Never Left,Lil Tecca,Never Left,168727,2021-05-06,"melodic rap, trap, rap",True,84,0.807,0.659,11,-6.92,1,0.332,0.0224,0.0,0.309,0.438,82.465,4,spotify:track:21UkXrc9kD48rNpTMI2ecz,Hip-Hop-Rap
15,Lucid Dreams (feat. Lil Uzi Vert) - Remix,"Juice WRLD, Lil Uzi Vert",Goodbye & Good Riddance (Anniversary Edition),240437,2021-05-28,"melodic rap, rap, philly rap, chicago rap, trap",True,72,0.443,0.579,6,-6.517,0,0.187,0.125,0.0,0.284,0.256,83.827,4,spotify:track:4iHMpfDjapiXaYUv41Ssvq,Hip-Hop-Rap
16,Ramen & OJ,"Joyner Lucas, Lil Baby",Ramen & OJ,218448,2021-04-30,"atl trap, rap, hip hop, atl hip hop, pop rap, boston hip hop, trap",True,84,0.597,0.571,1,-6.205,0,0.293,0.492,0.0,0.093,0.165,106.196,3,spotify:track:4TIqzdAssasqx3DAe6cG9J,Hip-Hop-Rap
17,24 Hours (feat. Lil Durk),"A Boogie Wit da Hoodie, Lil Durk",24 Hours (feat. Lil Durk),205702,2021-05-21,"chicago drill, melodic rap, southern hip hop, rap, hip hop, chicago rap, drill, pop rap, trap",True,75,0.586,0.474,2,-9.21,0,0.18,0.334,0.0,0.118,0.146,91.105,4,spotify:track:0YH1xT3Z7wR6dZyaCwSziK,Hip-Hop-Rap
18,Emergency (feat. Gunna & Young Thug),"21 Savage, Gunna, Young Thug",Spiral: From The Book of Saw Soundtrack,177280,2021-05-13,"atl trap, gangster rap, melodic rap, rap, hip hop, atl hip hop, pop rap, trap",False,60,0.757,0.815,2,-5.325,1,0.266,0.0677,0.0,0.373,0.22,142.761,4,spotify:track:6OXoNNVuqee0XMgbf7ZNna,Hip-Hop-Rap
19,RAPSTAR,Polo G,RAPSTAR,165926,2021-04-09,chicago rap,True,95,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,4,spotify:track:43PGPuHIlVOc04jrZVh9L6,Hip-Hop-Rap
20,Tampa,Cico P,Sweet Union,176160,2019-10-31,,True,81,0.888,0.408,8,-10.162,0,0.487,0.164,0.0,0.0912,0.742,77.029,4,spotify:track:5jc4Qcs98R4ZDku8ictuE3,Hip-Hop-Rap
21,"His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)","Internet Money, Gunna, Don Toliver, Lil Uzi Vert","His & Hers (feat. Don Toliver, Lil Uzi Vert & Gunna)",224042,2021-05-13,"melodic rap, rap, philly rap, hip hop, atl hip hop, pop rap, trap",True,81,0.792,0.707,7,-5.218,0,0.0623,0.116,0.0,0.12,0.408,134.997,4,spotify:track:2IePEfMAtqWS6rLXXFZIgI,Hip-Hop-Rap
22,Final Warning,NLE Choppa,Final Warning,156895,2021-04-30,memphis hip hop,True,78,0.847,0.912,11,-3.129,1,0.257,0.0781,0.0,0.142,0.88,81.486,4,spotify:track:3LVcKphzONOdQ2EATazlZq,Hip-Hop-Rap
23,m y . l i f e (with 21 Savage & Morray),"J. Cole, 21 Savage, Morray",The Off-Season,218802,2021-05-14,"north carolina hip hop, rap, conscious hip hop, atl hip hop, trap",True,89,0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,140.021,4,spotify:track:1D3z6HTiQsNmZxjl7F7eoG,Hip-Hop-Rap
24,Miss The Rage (feat. Playboi Carti),"Trippie Redd, Playboi Carti",Miss The Rage (feat. Playboi Carti),236883,2021-05-07,"melodic rap, rap, plugg, atl hip hop, trap",True,88,0.584,0.859,8,-5.616,1,0.121,0.0144,0.0,0.847,0.369,77.005,4,spotify:track:2BITQ360Knh6qNAOqR7Dyq,Hip-Hop-Rap
25,"Track Star (feat. Chris Brown, A Boogie wit da Hoodie & Yung Bleu)","Mooski, Chris Brown, A Boogie Wit da Hoodie, Yung Bleu","Track Star (feat. Chris Brown, A Boogie wit da Hoodie & Yung Bleu)",221054,2021-05-18,"melodic rap, rap, pop r&b, dance pop, r&b, pop, alabama rap, pop rap, trap",True,73,0.551,0.438,7,-10.297,0,0.187,0.243,0.0,0.0972,0.248,130.814,5,spotify:track:53sTK6KBrvsuqKT9qNpS5d,Hip-Hop-Rap
26,2055,Sleepy Hallow,2055,123987,2021-04-14,"brooklyn drill, nyc rap",True,73,0.775,0.518,6,-5.857,0,0.311,0.455,0.0,0.121,0.646,161.011,4,spotify:track:0mG6igzxbH55XRyq3ygEh8,Hip-Hop-Rap
27,Attachments (feat. Coi Leray),"Pressa, Coi Leray",Attachments (feat. Coi Leray),171000,2021-04-30,"melodic rap, r&b, canadian hip hop, toronto rap, trap queen, rap montrealais, viral rap, trap",True,62,0.806,0.501,9,-7.096,0,0.168,0.065,0.0,0.125,0.345,160.03,4,spotify:track:4nyRXQQkM69kmaxiyCKMCr,Hip-Hop-Rap
28,Like This,"2KBABY, Marshmello",Like This,163813,2021-02-26,"pop, edm, brostep, kentucky hip hop, pop dance, progressive electro house",True,71,0.712,0.679,4,-6.261,1,0.0649,0.0394,0.0,0.195,0.57,160.003,4,spotify:track:2M2Pug4zwMialHSwACPlU1,Hip-Hop-Rap
29,shots in the dark,"iann dior, Trippie Redd",Still Here,188584,2021-04-16,"rap, melodic rap, trap, pop rap",True,59,0.58,0.651,6,-5.537,0,0.0459,0.0275,0.0,0.102,0.562,157.888,4,spotify:track:6e7jXXhVt7lOj07fffOdJl,Hip-Hop-Rap
30,4 Da Gang (with Roddy Ricch),"42 Dugg, Roddy Ricch",4 Da Gang (with Roddy Ricch),155720,2021-04-02,"melodic rap, southern hip hop, rap, detroit trap, trap",True,82,0.871,0.545,7,-10.489,1,0.189,0.0143,0.0,0.148,0.722,100.482,4,spotify:track:4KIkADzoVm3A10E9qyjsQ5,Hip-Hop-Rap
31,What You Need,Don Toliver,What You Need,217609,2021-05-04,"trap, rap",True,80,0.664,0.655,10,-7.327,0,0.0461,0.059,2.4e-05,0.17,0.13,129.987,4,spotify:track:6LcX2hBbXaJcK4AuefE936,Hip-Hop-Rap
32,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","DJ Khaled, Post Malone, DaBaby, Megan Thee Stallion, Lil Baby",KHALED KHALED,165366,2021-04-30,"houston rap, north carolina hip hop, melodic rap, atl trap, southern hip hop, rap, hip hop, dfw rap, pop, trap queen, atl hip hop, miami hip hop, trap, pop rap",True,82,0.757,0.721,4,-2.906,0,0.0691,0.00196,0.0,0.647,0.364,124.036,4,spotify:track:20GrahbI4AzAOWxpYfDKkf,Hip-Hop-Rap
33,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]","Tion Wayne, Russ Millions, ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign, Darkoo","Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",278085,2021-04-22,"grime, brooklyn drill, london rap, uk drill, uk hip hop, afroswing, new york drill, manchester hip hop, trap",True,91,0.883,0.674,11,-8.043,0,0.357,0.21,0.0,0.0678,0.73,141.02,4,spotify:track:6uvMKqNlrSvcC4NaKnrwjZ,Hip-Hop-Rap
34,Ice Water (feat. Trippie Redd),"Lil Skies, Trippie Redd",Unbothered (Deluxe),180325,2021-05-14,"rap, melodic rap, trap, pop rap",True,67,0.712,0.671,4,-7.198,0,0.112,0.125,0.0,0.0954,0.446,160.028,4,spotify:track:2RTkEYOLYDQtjWFGNZtvpT,Hip-Hop-Rap
35,Tell Em,"Cochise, $NOT",Tell Em,180380,2021-05-28,"florida rap, vapor trap, underground hip hop, meme rap, plugg",True,78,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,4,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,Hip-Hop-Rap
36,Astronaut In The Ocean (Remix) - feat. G-Eazy & DDG,"Masked Wolf, G-Eazy, DDG",Astronaut In The Ocean (Remix) [feat. G-Eazy & DDG],195750,2021-05-07,"oakland hip hop, rap, hip hop, indie pop rap, australian hip hop, pop rap, trap",True,52,0.788,0.642,11,-7.35,1,0.149,0.0981,0.0,0.158,0.512,150.031,4,spotify:track:09ywIfxue0VYSS37h0hSVn,Hip-Hop-Rap
37,STUNNAMAN (with Roddy Ricch & feat. Lil Wayne),"Birdman, Roddy Ricch, Lil Wayne",STUNNAMAN,219121,2021-05-21,"new orleans rap, gangster rap, melodic rap, southern hip hop, rap, hip hop, dirty south rap, pop rap, trap",True,66,0.865,0.699,8,-6.062,0,0.196,0.0867,0.0,0.295,0.705,144.949,4,spotify:track:3ptB4SmuSJTGhQByFrMJVJ,Hip-Hop-Rap
38,Bath Salts (feat. JAY-Z & Nas),"DMX, JAY-Z, Nas",Exodus,180009,2021-05-28,"hardcore hip hop, gangster rap, rap, hip hop, east coast hip hop, conscious hip hop, queens hip hop, pop rap",True,67,0.592,0.682,4,-7.196,0,0.264,0.0466,0.0,0.648,0.301,91.845,4,spotify:track:1T2zBb2omBI30fvIWegMuT,Hip-Hop-Rap
39,OKAY (feat. Vory),"FRVRFRIDAY, Vory",OKAY,210779,2021-04-30,"canadian hip hop, kentucky hip hop, trap soul, indie hip hop, canadian contemporary r&b",True,59,0.731,0.41,9,-10.666,1,0.083,0.544,0.0,0.11,0.457,114.104,4,spotify:track:65UMCdooEyQ6dQHmbgwEVS,Hip-Hop-Rap
40,durag activity (with Travis Scott),"Baby Keem, Travis Scott",durag activity (with Travis Scott),225020,2021-04-30,"slap house, rap, hip hop, underground hip hop, trap",True,80,0.89,0.701,0,-5.712,0,0.342,0.00306,3.06e-06,0.0895,0.505,80.462,4,spotify:track:4JJcP0Rv9AgyPD6ZGaC8EE,Hip-Hop-Rap
41,MOONWALK (feat. Yung Bans),"KILLY, Yung Bans",KILLSTREAK 2,100799,2021-05-28,"canadian trap, melodic rap, rap, vapor trap, underground hip hop, canadian hip hop, plugg, toronto rap, trap",True,52,0.844,0.495,1,-6.347,1,0.229,0.0545,0.0,0.0893,0.462,153.081,4,spotify:track:3CEqLxEEEzaO07Ts3xoTFR,Hip-Hop-Rap
42,EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),"DJ Khaled, Lil Baby, Lil Durk",KHALED KHALED,236524,2021-04-30,"atl trap, chicago drill, southern hip hop, rap, hip hop, chicago rap, drill, atl hip hop, miami hip hop, trap, pop rap",True,83,0.477,0.727,2,-4.053,1,0.286,0.000866,0.0,0.108,0.227,150.062,4,spotify:track:1EJIcDYXwSqipW5dFe4uJz,Hip-Hop-Rap
43,Nobody Special (with Future),"Hotboii, Future",Nobody Special (with Future),169500,2021-05-28,"florida rap, southern hip hop, rap, atl hip hop, pop rap, trap",True,70,0.843,0.538,2,-5.928,1,0.47,0.00507,0.0,0.133,0.169,160.088,4,spotify:track:4hxAZVGVvBibnz36zIF6QN,Hip-Hop-Rap
44,Maybach (feat. Future),"42 Dugg, Future",Free Dem Boyz,199093,2021-05-21,"southern hip hop, rap, detroit trap, atl hip hop, pop rap, trap",True,72,0.735,0.446,5,-10.232,1,0.109,0.0071,1.93e-05,0.173,0.121,150.915,4,spotify:track:2Qt8qG9SWPdtRiaWcPNJRm,Hip-Hop-Rap
45,shop (feat. DaBaby),"Toosii, DaBaby",Thank You For Believing,189919,2021-05-07,"pop r&b, north carolina hip hop, rap",True,65,0.865,0.64,7,-7.201,1,0.325,0.0185,0.0,0.308,0.4,114.621,5,spotify:track:5iwSmckCiyv9J5eUxD2cLN,Hip-Hop-Rap
46,"3, 2, 1",24kGoldn,El Dorado,131587,2021-03-26,cali rap,True,74,0.694,0.708,0,-2.066,1,0.137,0.246,0.0,0.152,0.69,164.958,4,spotify:track:2hx8cZug1bgRMXgW5RCTUV,Hip-Hop-Rap
47,Two of 'Em,"Jazz Cartier, Buddy",Two of 'Em,150588,2021-05-26,"canadian trap, underground hip hop, canadian hip hop, cali rap, toronto rap, indie pop rap, trap soul, alternative r&b",True,47,0.892,0.414,10,-8.339,1,0.309,0.0809,0.0,0.11,0.591,139.983,4,spotify:track:1rgCAUhI0Cy8nBShhrJ47W,Hip-Hop-Rap
48,Headshot (feat. Polo G & Fivio Foreign),"Lil Tjay, Polo G, Fivio Foreign",Destined 2 Win,144349,2021-04-02,"melodic rap, brooklyn drill, nyc rap, chicago rap, new york drill, trap",True,85,0.808,0.639,1,-7.266,0,0.279,0.0802,0.0,0.15,0.395,118.0,4,spotify:track:4eNOLmx8r2IJAVKvBBL1jv,Hip-Hop-Rap
49,City Lights,YSN Fab,City Lights,193933,2021-04-02,"winnipeg hip hop, sad rap",True,52,0.762,0.549,10,-6.315,1,0.168,0.235,0.0,0.233,0.701,138.949,4,spotify:track:3aSEws9uxDu28fncftGH0u,Hip-Hop-Rap
50,What's Next,Drake,Scary Hours 2,178154,2021-03-05,"canadian pop, rap, hip hop, canadian hip hop, toronto rap, pop rap",False,69,0.777,0.58,0,-6.928,0,0.0525,0.0125,0.0,0.161,0.0636,129.918,4,spotify:track:3mDFLytDotXo2p0rvfGbkA,Hip-Hop-Rap
51,Wockesha,Moneybagg Yo,A Gangsta’s Pain,180930,2021-04-23,"memphis hip hop, southern hip hop, rap, hip hop, tennessee hip hop, trap",True,80,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103,4,spotify:track:0nqhKXDjsyBMvbeWmgijD0,Hip-Hop-Rap
52,Everything Different,"Culture Jam, YoungBoy Never Broke Again, Rod Wave",Everything Different,195000,2021-05-28,"florida rap, baton rouge rap, trap",True,65,0.659,0.714,9,-5.963,1,0.228,0.123,0.0,0.314,0.322,160.007,4,spotify:track:41WFnZg6LOFNnapyT0y2sP,Hip-Hop-Rap
53,Banana Clip,Roney,Banana Clip,133714,2021-03-26,"canadian hip hop, toronto rap",True,49,0.888,0.569,0,-9.019,1,0.139,0.203,0.0,0.313,0.533,140.001,4,spotify:track:5F6nxC81k7bZNlOhyjzXSL,Hip-Hop-Rap
