,title,artists,album,duration_ms,release_date,artist_genres,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,uri,genre
0,In A Sentimental Mood,"Duke Ellington, John Coltrane",Duke Ellington & John Coltrane,255227,1963-02-01,"african-american classical, vocal jazz, bebop, adult standards, big band, swing, free jazz, harlem renaissance, jazz piano, jazz, jazz saxophone, cool jazz",False,66,0.464,0.305,3,-12.435,0,0.0316,0.936,0.0846,0.208,0.282,108.229,4,spotify:track:0E8q2Fx2XuzXCO2NSAppkR,Jazz
1,The Awakening,Ahmad Jamal Trio,The Awakening,378933,1970-01-01,"bebop, soul jazz, hard bop, jazz trio, jazz, cool jazz, stride",False,39,0.52,0.2,1,-17.353,1,0.0357,0.837,0.516,0.12,0.132,81.899,4,spotify:track:7GXOrNqnHdJasc81GlKH2D,Jazz
2,"A Love Supreme, Pt. II - Resolution",John Coltrane,A Love Supreme,437840,1965-02-01,"bebop, free jazz, jazz, jazz saxophone, cool jazz",False,47,0.341,0.57,8,-11.71,1,0.0673,0.581,0.0,0.0966,0.392,89.754,4,spotify:track:7unF2ARDGldwWxZWCmlwDM,Jazz
3,Stolen Moments,Oliver Nelson,The Blues and the Abstract Truth,525613,2021-06-03,"contemporary post-bop, jazz fusion, bebop, big band, free jazz, soul jazz, hard bop, jazz, jazz saxophone, cool jazz",False,51,0.575,0.187,0,-13.081,0,0.0513,0.927,0.876,0.166,0.342,107.469,4,spotify:track:4ow1XH4hwe3yOGXG2eTTTY,Jazz
4,My One And Only Love,"John Coltrane, Johnny Hartman",The Gentle Side Of John Coltrane,296667,2021-06-03,"vocal jazz, bebop, adult standards, free jazz, jazz, jazz saxophone, cool jazz",False,53,0.461,0.0546,0,-18.982,1,0.0362,0.988,0.208,0.126,0.23,128.91,4,spotify:track:1BPmVDqR4cX9aFC0Qx0eWn,Jazz
5,Skating In Central Park,"Bill Evans, Jim Hall",Undercurrent,324200,1962-01-01,"contemporary post-bop, vocal jazz, jazz fusion, bebop, adult standards, jazz piano, jazz guitar, soul jazz, jazz, cool jazz",False,62,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,3,spotify:track:1cpANF6zMBoFoxkoIjZHjv,Jazz
6,I'll Be Seeing You,Billie Holiday,Billie Holiday,211533,1957-01-01,"vocal jazz, torch song, adult standards, soul, jazz blues, harlem renaissance, jazz, lounge",False,65,0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,3,spotify:track:4smkJW6uzoHxGReZqqwHS5,Jazz
7,My Foolish Heart,Bill Evans Trio,Waltz For Debby [Original Jazz Classics Remasters] (OJC Remaster),297320,1961-01-01,"contemporary post-bop, vocal jazz, jazz fusion, bebop, soul jazz, hard bop, jazz trio, jazz, cool jazz, stride",False,64,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,4,spotify:track:6yKkA8HzwWTZ5taIMaG4Nm,Jazz
8,All Alone,Mal Waldron,All Alone,310055,1966-01-01,"contemporary post-bop, bebop, free jazz, jazz piano, hard bop, jazz, cool jazz, avant-garde jazz",False,53,0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,4,spotify:track:6TAW00MAPvS59yEoIgtOEI,Jazz
9,If You Could See Me Now,Chet Baker,The Very Best Of Chet Baker,318413,2012-01-01,"vocal jazz, adult standards, jazz trumpet, jazz, cool jazz, lounge",False,39,0.511,0.031,3,-19.636,1,0.0388,0.939,0.898,0.139,0.179,112.911,4,spotify:track:2QZtOFPATNgKpUJiGUARZk,Jazz
10,Conference Of The Birds,Dave Holland Quartet,Conference Of The Birds,277800,1973-06-20,"ecm-style jazz, free jazz, jazz quartet, free improvisation, contemporary jazz, avant-garde jazz",False,0,0.392,0.168,10,-22.249,1,0.0442,0.637,0.358,0.198,0.292,123.419,4,spotify:track:2dPWP7FMCxnv4u9Api6WWU,Jazz
11,Young And Foolish,Bill Evans,Everybody Digs Bill Evans,354667,1959-01-01,"vocal jazz, jazz fusion, bebop, adult standards, jazz piano, jazz, cool jazz",False,51,0.438,0.0172,9,-23.66,1,0.0384,0.973,0.557,0.0815,0.136,100.989,4,spotify:track:1WygPWqmNs4s2fxtjmtI3O,Jazz
12,My Little Brown Book,"Duke Ellington, John Coltrane",Duke Ellington & John Coltrane,319733,1963-02-01,"african-american classical, vocal jazz, bebop, adult standards, big band, swing, free jazz, harlem renaissance, jazz piano, jazz, jazz saxophone, cool jazz",False,60,0.372,0.187,0,-13.497,0,0.0323,0.942,0.139,0.161,0.217,70.334,4,spotify:track:4rmCI9VWrwrJTJ8XQ80BMN,Jazz
13,Blue in Green (feat. John Coltrane & Bill Evans),"Miles Davis, John Coltrane, Bill Evans",Kind Of Blue (Legacy Edition),337733,1959-08-17,"vocal jazz, jazz fusion, bebop, adult standards, free jazz, jazz piano, hard bop, jazz trumpet, jazz, jazz saxophone, cool jazz",False,64,0.421,0.0162,2,-25.358,0,0.0388,0.808,0.0024,0.0978,0.154,110.479,4,spotify:track:0aWMVrwxPNYkKmFthzmpRi,Jazz
14,When Sunny Gets Blue,McCoy Tyner,Today And Tomorrow,282320,2009-01-01,"contemporary post-bop, vocal jazz, jazz fusion, free jazz, jazz piano, soul jazz, hard bop, jazz funk, jazz, cool jazz, stride, contemporary jazz, avant-garde jazz",False,60,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,4,spotify:track:1J9iVCaEriyoMXpj2XszhU,Jazz
15,My Funny Valentine,Chet Baker,Chet Baker Sings,141133,1956-01-01,"vocal jazz, adult standards, jazz trumpet, jazz, cool jazz, lounge",False,63,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,4,spotify:track:4l9hml2UCnxoNI3yCdL1BW,Jazz
16,Solitude,Billie Holiday,Solitude,207600,1956-01-01,"vocal jazz, torch song, adult standards, soul, jazz blues, harlem renaissance, jazz, lounge",False,58,0.462,0.15,8,-13.531,1,0.0522,0.984,0.000902,0.105,0.19,98.66,3,spotify:track:30QD4VRP9yEneOh0eGTrtJ,Jazz
17,The Things We Did Last Summer,Freddie Hubbard,The Hub of Hubbard (192 Khz),439120,2016-05-13,"contemporary post-bop, vocal jazz, jazz fusion, bebop, big band, free jazz, soul jazz, hard bop, japanese jazz, jazz funk, jazz trumpet, jazz, cool jazz",False,51,0.308,0.114,5,-20.291,1,0.0399,0.912,0.919,0.169,0.163,79.261,4,spotify:track:1cfMdMmJqBlLn4auevv0iB,Jazz
18,Crystal Silence,Chick Corea,Return To Forever,415000,1972-07-01,"contemporary post-bop, jazz fusion, ecm-style jazz, jazz piano, jazz funk, jazz, cool jazz",False,55,0.203,0.0186,9,-24.277,0,0.0408,0.985,0.377,0.0728,0.0481,76.591,4,spotify:track:5F8rPLt2c52p0SK7kiH26b,Jazz
19,Dream A Little Dream Of Me - Single Version,"Ella Fitzgerald, Louis Armstrong","Love, Ella",185160,2007-05-03,"dixieland, vocal jazz, swing, adult standards, soul, jazz blues, harlem renaissance, jazz trumpet, new orleans jazz",False,71,0.443,0.104,0,-17.042,1,0.101,0.913,0.0,0.191,0.394,76.497,4,spotify:track:78MI7mu1LV1k4IA2HzKmHe,Jazz
20,Autumn Nocturne,Lou Donaldson,Blues Walk,294667,1958-01-01,,False,56,0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,4,spotify:track:4zPDjRgceGrR0Sm54YDTTf,Jazz
21,I Got It Bad And That Ain't Good,Oscar Peterson Trio,Night Train (Expanded Edition),306227,1963-01-01,"vocal jazz, bebop, adult standards, big band, hard bop, jazz trio, jazz, cool jazz, stride",False,60,0.488,0.0527,5,-27.331,1,0.0478,0.971,0.911,0.0882,0.193,49.689,4,spotify:track:4ol2UyMTiklHVujAWg02nE,Jazz
22,But Not For Me - Vocal Version,Chet Baker,Chet Baker Sings,184467,1956-01-01,"vocal jazz, adult standards, jazz trumpet, jazz, cool jazz, lounge",False,58,0.626,0.152,5,-14.182,0,0.0405,0.934,6.05e-05,0.12,0.545,82.174,4,spotify:track:3pfbQmD5xGH9Tcc7GqGfSL,Jazz
23,Cloe,Joe Pass,Intercontinental,321952,2014-08-12,"jazz fusion, bebop, jazz guitar, soul jazz, jazz, cool jazz",False,51,0.483,0.186,7,-21.824,0,0.0409,0.939,0.873,0.115,0.498,150.87,4,spotify:track:0cNc2tivyPqzgp13BSM7St,Jazz
24,Tell Me a Bedtime Story,Herbie Hancock,Fat Albert Rotunda,301867,1969-12-08,"contemporary post-bop, jazz fusion, jazz piano, funk, instrumental funk, jazz funk, jazz, cool jazz",False,52,0.398,0.527,4,-16.591,0,0.0297,0.713,0.934,0.119,0.353,118.504,4,spotify:track:6eimz6jvlZaPwtflDWCTa0,Jazz
25,April In Paris,Billie Holiday,All Or Nothing At All,185587,1958-01-01,"vocal jazz, torch song, adult standards, soul, jazz blues, harlem renaissance, jazz, lounge",False,61,0.496,0.127,0,-14.211,1,0.0382,0.927,7.07e-05,0.132,0.211,74.746,4,spotify:track:34zhjduFdQFhkRUJ230h9T,Jazz
26,You Go To My Head - 2020 Mix,Frank Sinatra,Nice 'n' Easy (2020 Mix),266800,1960-07-25,"easy listening, lounge, adult standards",False,53,0.147,0.215,3,-14.594,0,0.0346,0.965,0.000928,0.184,0.102,171.46,3,spotify:track:7KsJkshpIjjeIwyKnkhQUc,Jazz
