,title,artists,album,duration_ms,release_date,artist_genres,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,uri,genre
0,Wonder,Shawn Mendes,Wonder,172693,2020-12-04,"viral pop, canadian pop, post-teen pop, dance pop, pop",False,76,0.442,0.631,1,-5.096,0,0.05,0.136,2.29e-05,0.133,0.129,139.774,4,spotify:track:6ZuahEctZD6w75peme58hm,Pop
1,July,Noah Cyrus,July,156107,2019-07-31,"post-teen pop, dance pop, pop, alt z",False,14,0.708,0.186,9,-8.953,0,0.0422,0.868,0.0,0.0779,0.321,72.541,4,spotify:track:5a6pdCHlWS2ekOOQ70QnAr,Pop
2,Stay Alive,Mustafa,Stay Alive,181373,2020-03-11,chill pop,False,2,0.557,0.18,5,-15.417,1,0.0356,0.909,2.32e-05,0.498,0.456,85.963,4,spotify:track:1COWb4m8g8jY7fi3wXzo5b,Pop
3,exile (feat. Bon Iver),"Taylor Swift, Bon Iver",folklore,285634,2020-07-24,"post-teen pop, eau claire indie, pop, melancholia, indie folk",False,79,0.298,0.38,6,-8.426,1,0.0287,0.778,5.62e-05,0.11,0.152,75.602,4,spotify:track:4pvb0WLRcMtbPGmtejJJ6y,Pop
4,Let's Fall in Love for the Night,FINNEAS,Let’s Fall In Love For The Night,190348,2018-10-19,"electropop, indie cafe pop, post-teen pop, pop, la indie, alt z",True,76,0.737,0.408,5,-7.941,1,0.104,0.802,0.0,0.171,0.374,127.921,4,spotify:track:7kQkmyoHCEqwe7QwDbkSXM,Pop
5,Life Inside,Verzache,Life Inside,216000,2020-04-24,lo-fi beats,False,55,0.847,0.516,4,-8.728,0,0.0414,0.232,3.09e-05,0.714,0.655,120.016,4,spotify:track:2tpA4UByrUKHRCaSiS0eno,Pop
6,Finally // beautiful stranger,Halsey,Manic,221096,2020-01-17,"electropop, post-teen pop, dance pop, pop, indie poptimism, etherpop",False,59,0.626,0.55,9,-5.105,0,0.029,0.051,0.0,0.118,0.123,133.976,4,spotify:track:42SOtYBdnfj9zEdZSlAq5k,Pop
7,2725,GRAE,2725,201813,2020-07-31,modern indie pop,False,24,0.792,0.616,0,-7.031,1,0.0361,0.373,0.000409,0.0831,0.222,109.028,4,spotify:track:3e68Szcr6VUctxlIeWWTrS,Pop
8,Almost (Sweet Music),Hozier,"Wasteland, Baby!",217480,2019-03-01,"pop, modern rock, irish singer-songwriter",False,66,0.523,0.687,7,-5.601,1,0.105,0.0215,2.86e-06,0.203,0.711,90.036,4,spotify:track:7uttm8Iurm5uK67Vr9G2Sp,Pop
9,everything i wanted,Billie Eilish,everything i wanted,245426,2019-11-13,"electropop, pop",False,85,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,4,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,Pop
10,"fuck, i luv my friends",renforshort,"fuck, i luv my friends",163852,2020-07-15,"pop, canadian pop, social media pop, alt z",True,59,0.443,0.551,4,-5.667,1,0.026,0.121,0.0,0.334,0.683,168.099,4,spotify:track:4hk4plGoAmg3naYTq8EUul,Pop
11,Young & Sad,Noah Cyrus,THE END OF EVERYTHING,190183,2020-05-15,"post-teen pop, dance pop, pop, alt z",False,64,0.618,0.428,7,-8.5,0,0.038,0.592,0.0,0.192,0.359,142.021,4,spotify:track:0gySkOOewOdZtHG8stPEB8,Pop
12,Canada (feat. Alessia Cara),"Lauv, Alessia Cara",~how i'm feeling~,184009,2020-03-06,"canadian pop, electropop, post-teen pop, dance pop, pop, canadian contemporary r&b",False,58,0.635,0.259,9,-12.782,1,0.039,0.622,0.0,0.145,0.352,93.237,4,spotify:track:6Rf3dWdNQs5LTqFOiavqQr,Pop
13,Balenciaga,New West,Balenciaga,208481,2020-06-26,toronto indie,False,56,0.344,0.7,0,-7.419,1,0.0345,0.474,0.00425,0.153,0.293,78.356,4,spotify:track:7y7ExXQ8gjfE9x2toP7YbJ,Pop
14,Heather,Conan Gray,Kid Krow,198040,2020-03-20,"electropop, bedroom pop, post-teen pop, pop, indie pop, alt z",False,87,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,3,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Pop
15,What A Time (feat. Niall Horan),"Julia Michaels, Niall Horan",Inner Monologue Part 1,173307,2019-01-24,"electropop, post-teen pop, dance pop, pop, alt z",False,80,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,4,spotify:track:5WtfUKzXircvW8l5aaVZWT,Pop
16,DRUGS,Tai Verdes,DRUGS,159547,2020-10-30,modern indie pop,True,66,0.868,0.449,8,-7.713,1,0.0694,0.107,0.0,0.631,0.746,106.852,4,spotify:track:0yruV4sUwyczq5cxMRRljU,Pop
17,Remember That Night?,Sara Kays,Remember That Night?,227186,2020-11-06,"social media pop, indie cafe pop, modern indie pop, pop, alt z",False,81,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,4,spotify:track:1nYzjrdVQ8RpF93M0jPFW7,Pop
18,hiccup,Valley,hiccup,164349,2020-09-17,"indietronica, electropop, indie cafe pop, pop, indie pop, indie poptimism, alt z",True,1,0.415,0.585,9,-8.958,1,0.0761,0.0384,3.5e-05,0.328,0.554,160.292,3,spotify:track:5C0fWU1j3pa4vvAZuYyisq,Pop
19,LOVE IN THE DARK,Jessie Reyez,BEFORE LOVE CAME TO KILL US,239093,2020-03-27,"canadian pop, post-teen pop, dance pop, r&b, pop, canadian contemporary r&b",False,53,0.506,0.359,11,-7.278,0,0.027,0.8,3.7e-05,0.258,0.288,101.834,4,spotify:track:5x2lZUtUdC4OifINwav94P,Pop
20,Put Your Records On,Ritt Momney,Put Your Records On,210463,2020-04-24,bedroom pop,False,4,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,4,spotify:track:1fah1uAs7HeTYDlNftKr3K,Pop
21,Out Of Love,Alessia Cara,The Pains Of Growing,227693,2018-11-30,"electropop, canadian pop, post-teen pop, dance pop, pop, canadian contemporary r&b",False,77,0.481,0.267,7,-9.249,1,0.0339,0.8,0.0,0.249,0.137,117.64,3,spotify:track:4WzhjxvLP95y7AMDy0Atwb,Pop
22,Saturday Nights,Khalid,Suncity,210667,2018-10-18,pop,False,73,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02e-05,0.11,0.341,167.923,4,spotify:track:5kfNriitmkNE8mUbZ7gbq8,Pop
23,Passive Aggressive,Charlotte Cardin,Passive Aggressive,189840,2020-09-18,"indie quebecois, canadian pop",False,49,0.734,0.548,8,-6.121,1,0.0459,0.0633,8.28e-05,0.226,0.598,99.004,4,spotify:track:23A2H7NeguB5mYonS3KnSp,Pop
24,COFFIN (feat. Eminem),"Jessie Reyez, Eminem",BEFORE LOVE CAME TO KILL US,261773,2020-03-27,"canadian pop, rap, hip hop, post-teen pop, dance pop, r&b, pop, detroit hip hop, canadian contemporary r&b",True,61,0.585,0.594,9,-5.342,1,0.332,0.354,5.36e-05,0.0921,0.138,184.013,3,spotify:track:4HqPiUgeE9z0MHLXkgUQkQ,Pop
25,drivers license,Olivia Rodrigo,drivers license,242014,2021-01-08,pop,True,94,0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,143.874,4,spotify:track:7lPN2DXiMsVn7XUKtOW1CS,Pop
26,Fear Of Being Alone,Lennon Stella,Three. Two. One.,171707,2020-04-24,"electropop, canadian pop, indie cafe pop, post-teen pop, dance pop, pop, alt z",False,50,0.758,0.738,6,-5.978,0,0.0557,0.138,9.82e-06,0.0777,0.508,111.026,4,spotify:track:3QGk8QfPKlpCCcdOUGRpMA,Pop
27,me & ur ghost,blackbear,me & ur ghost,200400,2020-01-16,"pop rap, electropop, pop",True,3,0.755,0.631,7,-6.128,1,0.0261,0.0638,0.0,0.0929,0.881,100.026,4,spotify:track:4yJiXq86uM56uIfIZgE440,Pop
28,comethru,Jeremy Zucker,comethru,181520,2018-09-07,"post-teen pop, electropop, pop",False,0,0.798,0.175,0,-12.603,1,0.0594,0.603,0.0,0.625,0.633,93.994,4,spotify:track:6fFTPGGItuEpjwXRUIr4rk,Pop
29,i drive me mad,renforshort,teenage angst EP,177181,2020-03-13,"pop, canadian pop, social media pop, alt z",True,54,0.529,0.454,7,-5.499,1,0.0959,0.125,0.0,0.183,0.457,108.316,4,spotify:track:74tswKcYGnbqDd9zbPHAgW,Pop
30,nevermind,Valley,nevermind,176421,2020-07-08,"indietronica, electropop, indie cafe pop, pop, indie pop, indie poptimism, alt z",True,0,0.761,0.544,9,-8.037,1,0.0607,0.0741,2.02e-05,0.139,0.845,130.925,4,spotify:track:6SzMMd1rNtyfj8bAgm2BLw,Pop
31,The One,WizTheMc,Growing Teeth,141189,2020-01-31,"pop rap, canadian contemporary r&b",False,39,0.748,0.756,0,-4.522,1,0.238,0.419,0.0,0.371,0.803,102.959,4,spotify:track:6QxWS41nRH88eayp7beMH6,Pop
32,Bonafide (feat. Chiiild),"Emotional Oranges, Chiiild",Bonafide (feat. Chiiild),177409,2021-01-13,"indie r&b, alternative r&b",False,59,0.724,0.439,2,-10.35,0,0.0718,0.516,0.0433,0.0478,0.569,98.009,4,spotify:track:5AHSYSrni7xVCzlanStMRf,Pop
33,Don't Let Me Down,"Milky Chance, Jack Johnson",Don't Let Me Down,200391,2020-05-01,"neo mellow, german pop",False,44,0.854,0.674,0,-7.32,1,0.0597,0.345,9.82e-05,0.12,0.729,109.958,4,spotify:track:36fHADliwp4ColP0Gypg5W,Pop
34,Light On,Maggie Rogers,Heard It In A Past Life,233880,2019-01-18,"indie pop, pop",False,71,0.657,0.569,2,-6.287,1,0.0542,0.201,1.38e-05,0.126,0.399,102.054,4,spotify:track:6UnCGAEmrbGIOSmGRZQ1M2,Pop
35,In Your Arms (with X Ambassadors),"ILLENIUM, X Ambassadors",ASCEND,220730,2019-08-16,"electropop, modern alternative rock, rock, pop rock, stomp pop, pop, edm, melodic dubstep, indie poptimism, modern rock, pop dance, tropical house",False,70,0.404,0.806,2,-4.75,1,0.0496,0.198,0.0,0.114,0.112,148.036,4,spotify:track:70YPzqSEwJvAIQ6nMs1cjY,Pop
36,Circles,Post Malone,Hollywood's Bleeding,215280,2019-09-06,"dfw rap, melodic rap, rap",False,0,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,4,spotify:track:51MMC5DogGZAnHil5HQAXg,Pop
37,Two Punks In Love,bülow,Two Punks In Love,195347,2018-09-21,"indietronica, electropop, social media pop, indie cafe pop, pop, indie poptimism, alt z",False,54,0.498,0.418,0,-6.294,1,0.0539,0.881,0.0,0.113,0.796,190.078,4,spotify:track:4dIPtEnmudhZPD8MsAtzSK,Pop
38,Kissing Other People,Lennon Stella,Kissing Other People,161627,2019-11-01,"electropop, canadian pop, indie cafe pop, post-teen pop, dance pop, pop, alt z",False,1,0.699,0.663,2,-5.697,1,0.0891,0.568,3.83e-06,0.13,0.379,94.042,4,spotify:track:2x3HyOx0Jd9MnlnAQRtIL3,Pop
39,Damn Baby,Alt Bloom,Damn Baby,173653,2020-02-28,chill r&b,False,0,0.583,0.602,7,-5.38,1,0.354,0.659,0.0,0.146,0.82,173.537,4,spotify:track:1JWGZCAO4ecEWgdOgXawGq,Pop
40,my ex's best friend (with blackbear),"Machine Gun Kelly, blackbear",my ex's best friend (with blackbear),138970,2020-08-07,"ohio hip hop, pop rap, electropop, pop",True,7,0.728,0.685,5,-5.096,0,0.0433,0.00391,0.0,0.152,0.33,124.934,4,spotify:track:70rFIfYN7lU6iTgUIVP42w,Pop
41,death bed (coffee for your head),"Powfu, beabadoobee",death bed (coffee for your head),173333,2020-02-08,"emo rap, bedroom pop, sad rap, indie pop, bubblegrunge",False,87,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,4,spotify:track:7eJMfftS33KTjuF7lTsMCx,Pop
42,Cigarettes On Patios,BabyJake,Cigarettes On Patios,207813,2019-06-07,"pop rap, pop",True,71,0.752,0.712,4,-5.467,0,0.0474,0.256,0.0,0.136,0.588,139.999,4,spotify:track:0LJDFZohBgWOMvXQw0cc9W,Pop
43,Paradise,Bazzi,Paradise,169038,2019-04-04,"post-teen pop, dance pop, electropop, pop",True,1,0.844,0.644,11,-6.273,0,0.0479,0.0828,0.0,0.113,0.591,122.061,4,spotify:track:7njKgVl3AnLflRad38o7AG,Pop
44,Peer Pressure (feat. Julia Michaels),"James Bay, Julia Michaels",Peer Pressure (feat. Julia Michaels),176880,2019-02-22,"neo mellow, electropop, post-teen pop, pop rock, dance pop, pop, modern rock, alt z",False,0,0.631,0.715,1,-6.083,0,0.0277,0.0299,0.0,0.121,0.42,135.826,4,spotify:track:4JWQC6gyYoPRnxRxk0ta2M,Pop
45,Slide Away,Miley Cyrus,Slide Away,233654,2019-08-16,"post-teen pop, dance pop, pop",False,73,0.53,0.538,5,-6.672,1,0.0335,0.17,2.83e-06,0.248,0.288,148.051,4,spotify:track:44ADyYoY5liaRa3EOAl4uf,Pop
46,La Di Da,Lennon Stella,"Love, me",209773,2018-11-17,"electropop, canadian pop, indie cafe pop, post-teen pop, dance pop, pop, alt z",False,68,0.689,0.679,7,-5.893,1,0.0517,0.195,0.00111,0.224,0.475,149.972,4,spotify:track:2YyvWje3cEYyqgYhNUIaBJ,Pop
47,Therefore I Am,Billie Eilish,Therefore I Am,174321,2020-11-12,"electropop, pop",False,87,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,4,spotify:track:54bFM56PmE4YLRnqpW6Tha,Pop
48,For A Minute,WizTheMc,What About Now - EP,109006,2020-10-30,"pop rap, canadian contemporary r&b",False,36,0.74,0.82,7,-5.054,1,0.0561,0.0378,0.0,0.0969,0.867,80.034,4,spotify:track:3btb2PBGvkz3HdKnB3gTwq,Pop
49,I'm Not Mad,Halsey,Manic,173467,2020-01-17,"electropop, post-teen pop, dance pop, pop, indie poptimism, etherpop",False,65,0.78,0.684,0,-5.758,1,0.0636,0.17,0.0,0.105,0.732,149.916,4,spotify:track:6SL8U8TtdwOtGhbmGzsMfX,Pop
50,3 Nights,Dominic Fike,"Don't Forget About Me, Demos",177667,2018-10-16,"alternative pop rock, pop",False,78,0.815,0.518,7,-6.594,0,0.0897,0.223,0.0,0.104,0.877,151.891,4,spotify:track:1tNJrcVe6gwLEiZCtprs1u,Pop
51,To Die For,Sam Smith,To Die For,193795,2020-02-14,"post-teen pop, dance pop, uk pop, pop",False,72,0.483,0.361,0,-7.889,1,0.0738,0.832,4.66e-06,0.098,0.307,171.649,4,spotify:track:2ZTYlnhhV1UAReg7wIGolx,Pop
52,La La Land,Bryce Vine,La La Land,157147,2019-06-07,"pop rap, electropop, pop",False,0,0.726,0.512,11,-4.667,1,0.0361,0.289,0.0,0.234,0.52,97.965,4,spotify:track:4UprSV8Kcj1kcSZNZrAW4e,Pop
53,Make You Mine,PUBLIC,Make You Mine,232907,2019-08-09,indie rockism,False,79,0.606,0.799,9,-4.452,1,0.0261,0.0128,0.0,0.15,0.638,103.014,4,spotify:track:5iFwAOB2TFkPJk8sMlxP8g,Pop
54,Losing Me,"Gabrielle Aplin, JP Cooper",Losing Me,180640,2019-08-14,"uk pop, electropop, neo mellow, indie cafe pop, viral pop, post-teen pop, pop rock, acoustic pop, pop, tropical house, indie poptimism, neo-singer-songwriter, indiecoustica, alt z",False,68,0.66,0.449,7,-6.573,1,0.0442,0.209,0.0,0.111,0.237,133.984,4,spotify:track:4P6g8wuXeR3wznFk7WnI4w,Pop
55,Adore You,Harry Styles,Fine Line,207133,2019-12-13,"post-teen pop, pop",False,86,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,4,spotify:track:3jjujdWJ72nww5eGnfs2E7,Pop
56,Move With Me,Locals Only Sound,Move With Me,185641,2020-07-17,canadian contemporary r&b,False,55,0.796,0.516,6,-6.985,1,0.0564,0.145,1.16e-05,0.103,0.276,123.953,4,spotify:track:5To3UtP7q2TMwzYN3bElZs,Pop
57,This City,Sam Fischer,This City,194853,2019-12-11,"uk pop, indie cafe pop, post-teen pop, dance pop, pop, australian pop, alt z",False,83,0.605,0.377,11,-6.213,1,0.0443,0.733,0.0,0.0808,0.519,73.877,4,spotify:track:3H3r2nKWa3Yk5gt8xgmsEt,Pop
58,Lost,Blake Rose,Lost,234623,2019-02-08,"electropop, australian electropop, indie cafe pop, alt z",False,7,0.597,0.687,4,-6.536,1,0.0466,0.216,0.0,0.107,0.502,94.749,4,spotify:track:2Pph0CUJ8uksCBzV6iyuQF,Pop
59,Problems,DeathbyRomy,Problems,188505,2019-10-04,"modern indie pop, alt z",False,69,0.761,0.554,0,-4.583,1,0.0432,0.226,0.000232,0.181,0.381,145.015,4,spotify:track:5fgHQws1Cj6KDLQmlqM6lF,Pop
60,Lover,Taylor Swift,Lover,221307,2019-08-23,"post-teen pop, pop",False,77,0.359,0.543,7,-7.582,1,0.0919,0.492,1.58e-05,0.118,0.453,68.534,4,spotify:track:1dGr1c8CrMLDpV6mPbImSI,Pop
61,Maniac,Conan Gray,Kid Krow,185773,2020-03-20,"electropop, bedroom pop, post-teen pop, pop, indie pop, alt z",False,84,0.628,0.639,8,-5.46,1,0.0435,0.00162,0.0,0.354,0.493,108.045,4,spotify:track:6KfoDhO4XUWSbnyKjNp9c4,Pop
